year,site_id,site_name,launches_eff,launches_eff_int,base_2025,alpha_strength,r_post2050,K_carrying,model
2092,VA_US,7.0,100.913,101,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2093,VA_US,7.0,106.099,106,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2094,VA_US,7.0,111.531,112,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2095,VA_US,7.0,117.22,117,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2096,VA_US,7.0,123.175,123,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2097,VA_US,7.0,129.407,129,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2098,VA_US,7.0,135.924,136,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2099,VA_US,7.0,142.738,143,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2100,VA_US,7.0,149.859,150,7.0,1.05,0.055,1535.8790879695098,exp_to_2050_then_logistic_adjusted
2025,AK_US,4.0,4.0,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2026,AK_US,4.0,4.077,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2027,AK_US,4.0,4.156,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2028,AK_US,4.0,4.236,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2029,AK_US,4.0,4.317,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2030,AK_US,4.0,4.4,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2031,AK_US,4.0,4.485,4,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2032,AK_US,4.0,4.572,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2033,AK_US,4.0,4.66,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
2034,AK_US,4.0,4.75,5,4.0,1.05,0.055,839.4867064678066,exp_to_2050_then_logistic_adjusted
